,branch,congressID,ideology_score,page,part,speaker,speech,year
0,Senate,96,0.283,119,3,Mr. BAKER.," I move to lay that motion  on the table.  The motion to lay on the table was  agreed to.  The second assistant legislative clerk  read the nomination of Max L. Frieders dorf, of Indiana, to be a member of the  Federal Election Commission.  ",1979
1,Senate,96,-0.598,119,3,Mr. PROXMIRE.," Mr. President, for 13  years  I have spoken  in  this Chamber  thousands  of  times on  the Genocide  Convention and,  in fact, almost every  day we have been in session, on how it  relates to current issues and on specific  arguments pro and con. In dealing with  the many and complex  facets of  the  Genocide Convention, we must not lose  sight of its original purpose and the his tory of its tribulations.  The Genocide Convention was pro posed at the first session of the United  Nations on November 2, 1946-1946-a  world reeling in the aftermath of  the  holocaust, a world shocked by the hor rifying crime which defined  the word  ""genocide,"" a world determined never to  let this happen again. But, Mr. Presi dent,  this determination has danger ously been allowed to fade.  The United States was party to  the  unanimous U.N. adoption of the Geno cide Convention in 1948. Soon afterward,  President Truman, realizing the signifi cance of  the  treaty,  transmitted  the  Genocide Convention to the Senate. Mr.  President,  every President  since  that  time has, as well, strongly endorsed the  Convention.  The Foreign Relations Committee and  Subcommittee have since 1950 consist ently  recommended  the  Convention  favorably  to the Senate.  The American Bar Association, which  for many years had hesitations about the  Convention, now unequivocally supports  it.  Mr. President, every argument against  the Genocide Convention has long since  been resolved.  The Genocide Convention was the first  human rights resolution of the United  Nations and it is still the most important.  Ratification by  the U.S. Senate  is-es sential for the treaty to have the world wide consequence it should have. There  is only one way for us to demonstrate  our convictions: We must act now  to  ratify the Genocide Convention.  Mr. President, I yield  the floor and  suggest the absence of a quorum.  ",1979
2,Senate,96,-0.301,119,3,Mr. MOYNIHAN.," Mr. President, may I  first thank the majority leader for his  courtesy in arranging 5 minutes within  which  I might speak on  two subjects  which strike me as having some rele vance.  BEHIND THE LINES  ",1979
3,Senate,96,-0.426,158,3,Mr. RIEGLE.," Mr. President, today I  am introducing a bill to correct an egre gious wrong that happened 34 years ago  last month. Many of us are .familiar with  the story of Pvt. Eddie Slovik, the only  man executed by the United States for  desertion since the Civil War. Over 20,000  desertions  occurred  in  the European  theater in World War II, some of these  resulted  in general courts-martial and  convictions, 49 were sentenced to death,  but only one was shot: Eddie Slovik.  His widow  is still alive,  though her  physical condition and spiritual strength  appear to be waning. Recently, Mrs. Slo vik was admitted to a hospital suffering  from a multitude of ailments; not the  least being frustration and defeat.  Mrs. Slovik has been living as a vir tual pauper for all these years, and has  been fostering the hope that some relief  would be forthcoming from the Govern ment. She has filed appeals and taken  the required bureaucratic steps to obtain  the life insurance benefits from a Gov ernment policy in her husband's name.  None of these efforts has been success.ful.  The circumstances surrounding the de sertion, trial and execution of Eddie Sla vik are by no means clear. His Army  counsel has suggested that Eddie Slovik's  due process was denied. These questions  may never be resolved, but one fact re mains; a lonely woman has suffered for  many years and has but one remaining  hope.  The legislation that I introduce would  mandate the payment of those life in surance benefits with accrued interest to  Mrs. Slovik. Congressman RANGEL has  introduced  a  similar measure  in  the  House and,  last year, President Carter  indicated his support for such measures.  I  believe  that compassion and  justice  should guide using the consideration of  this legislation. This is a chance to alle viate some of the suffering and indignity  that Mrs. Slovik has undergone, and I  urge the adoption of this bill.   By Mr. RIEGLE (for himself, Mr.  WILLIAMS, and Mr. HATCH) :  S. 440. A bill to revise and extend the  Comprehensive Alcohol Abuse and Al coholism Prevention, Treatment, and Re habilitation Act of 1970; to the Commit tee on Human Resources.  COMPREHENSIVE ALCOHOL,'-ABUSE AND ALCOHOL ISM PREVENTION, TREATMENT, AND REHABIL ITATION ACT AMENDMENTS OF 1979    ",1979
4,House,96,-0.462,197,3,Mr. BRADEMAS.," Mr.  Speaker,  I  thank the gentleman from Ohio for his  gracious remarks.  I yield to the gentleman from Ohio  (Mr. ASHBROOK)  for debate only.  ",1979
5,House,96,0.612,197,3,Mr. ASHBROOK.," Mr.  Speaker,  I  thank my colleague for yielding to me.  I would  raise  several  questions-not  questions that relate to the work of this  fine committee and its effort to be very  tightfisted with a dollar, but rather with  the procedures that are involved here.  I have read the first three resolutions,  and as nearly as I can tell-I would ask  my friend and colleague, the gentleman  from Indiana, to respond-as near as I  can tell, the only changes made in the  resolution  before  us  relate  dollar  amounts. Is that correct?  ",1979
6,House,96,0.502,197,3,Mr. DEVINE.," Mr. Speaker, I thank the  to the gentleman from New Jersey, Mr.  gentleman for yielding. I would like to  THOMPSON, the chairman of the full compoint out to the Mer.ibers here on the  mittee who, as a former chairman of the  floor that this is the first of a series of  ",1979
7,House,96,-0.044,223,3,Mr. GREEN.,  ,1979
8,House,96,-0.004,223,3,Mr. HORTON.,  <The following Members <at  the re quest of Mr. RATCHFORD) and to include  extraneous matter:)  Mr. ANDERSON of California in t'hree  instances.  Mr. GONZALEZ in three instances.  Mr. BROWN of California  in 10  stances.  .  Mr. ANNUNZIO in six instances.  Ms. HOLTZMAN in 10 instances.  Mr.  JONES  of Tennessee  in  stances.  Mr. BONER  stances.  ,1979
9,House,96,-0.463,223,3,Mr. BRODHEAD.,  Mr. MURPHY of New York in five instances.  Mr. WAXMAN in three instances.  ,1979
10,House,96,-0.31,223,3,Mr. LUNDINE.,  ,1979
11,House,96,-0.472,223,3,Mr. VENTO.,  ,1979
12,House,96,-0.435,223,3,Mr. RODINO.,  ,1979
13,House,96,-0.315,223,3,Mr. WILLIAMS of Montana.,  ,1979
14,House,96,-0.511,223,3,Mr. GRAY.,  ,1979
15,House,96,-0.264,223,3,Mr. WOLFF.,  ,1979
16,House,96,-0.171,223,3,Mr. HAMILTON.,  Mr. STARK in two instances.  Mr. EDWARD3 of California in two instances.  ,1979
17,House,96,-0.514,223,3,Mr. KASTENMEIER.,  ,1979
18,House,96,-0.429,223,3,Mr. SOLARZ.,  ,1979
19,House,96,-0.658,223,3,Mr. CONYERS.,  ,1979
20,House,96,-0.368,223,3,Mr. LONG of Louisiana.,  ,1979
21,House,96,-0.397,223,3,Mr. SIMON.,  Mr. McDONALD in 10 ins!ances.  Mr. SCHEUER in two instances.  ,1979
22,House,96,-0.383,223,3,Mr. WRIGHT.,  ,1979
23,House,96,-0.116,223,3,Mr. JENKINS.,  ,1979
24,House,96,-0.041,223,3,Mr. FOUNTAIN.,  Mr. AMBRO in two instances.  ,1979
25,House,96,-0.088,223,3,Mr. BENNETT.,  ,1979
26,House,96,-0.387,223,3,Mr. UDALL.,  ,1979
27,House,96,-0.366,223,3,Mr. VANIK.,  ADJOURNMENT  ,1979
28,House,96,-0.355,223,3,Mr. RATCHFORD.," Mr.  Speaker,  move that the House do now adjourn.  The r.1otion wa.s agreed to; ac:!ordingly  (at 1 o'clock and 26 minutes p.m.), the  House adjourned until tomorrow, Thurs day, February 22, 1979, at 11 a.m.  I  EXTENSION OF REMARKS  By unanimous consent, permission to  revise and extend remarks was granted  to:  Mr. GIAIMO, in 12 instances, and to in clude extraneous matter.  Mr. MICHEL, and to include extraneous  matter, in two instances.  Mr. VOLKMER, and to include extrane ous matter, not withstanding  the fact  that it exceeds two pages of the RECORD  and is estimated by the Public Printer  to cost $1,158.  ",1979
29,House,96,0.679,223,3,Mr. COLLINS of Texas.,  (The following Members <at  the re quest of Mr. PAUL)  and to include ex traneous matter:)  Mr. MICHEL in two instances.  ,1979
30,House,96,0.023,223,3,Mr. RINALDO.,  Mr. WYDLER in two instances.  ,1979
31,House,96,0.303,223,3,Mr. BAFALIS.,"  REPORTS OF COMMITTEES ON PUB LIC BILLS AND RESOLUTIONS  Under clause 2 of rule XIII, reports of  committees were delivered to the Clerk  for printing and reference to the proper  calendar, as follows:  Mr. MURPHY of New York: Committee on  Merchiant Marine and Fisheries. House Con current Resolution 3. Concurrent resolution  expressing  the sense of  the Congress  that  ""Our American Merchant Marine March"" as  written and composed by Earl w. Clark be  recognized as the official march of the Ameri can merchant marine; with  amendment  (Rept. No. 96-13). Referred  to  the House  03.l.endar.  Mr. PERKINS: Committee on Education  and Labor. Report pursuant to section 302(b)  of  the Congressional Budget Act of 1974  (Rept. No. 96-14). Referred to the Committee  o!  the Whole House on  the State of  the  Union.  Mr. RUDD in two instances.  Mr. BoB WILSON.  ",1979
32,House,96,0.34,223,3,Mr. TREEN.,"  Mr. PAUL in three instances.  Mr. MARLENEE in two instances.  EXECUTIVE COMMUNICATION, ETC.  Under clause 2 of rule XXIV, executive  communications were  taken  from  the  Speaker's table and referred as follows:  658. A letter from the Assistant secretary  of  the  Interior,  transmitting  certification  that an adequate soil survey and land classi fication have been made of the lands in the  Panoche Water District and Westlands Water  District, Central Valley Project, California,  and that the lands to be irrigated are suscep tible to the production of agricultural crops  by means of irrigation, pursuant to Public  Law 172, 83d Congress; to the Committee on  Appropriations.  659. A letter from the Deputy Director, Of fice of Management and Budget, Executive  Office of the President, transmitting a report  that the appropriation to the Department of  Health, Education, and Welfare for ""Refugee  Assistance,""  ""Grants  to States  for Social  Child Welfare Services,""  and  ""Grants  to  States for Medicaid"" for fiscal year 1979 have  been reapportioned on a basis which Indi cates  the necessity  for  supplemental esti mates of appropriation, pursuant to section  3679 (1) (2) of the Revised Statutes, as amend ed;  to the Committee on Appropriations.  660. A  letter  from  the Secretary of  the  Navy, transmitting a draft of proposed leg islation to repeal section 5153(c) of title 10,  United States Code;  to  the Committee on  Armed Services.  661. A letter from the Acting Director, De fense Security Assistance Agency  transm1Jt ting a  report on the impact on U.S. readi ness of the Army's proposed sale of certain  defense equipment to the Federal Republic  of Germany (transmittal No. 79-8), pursuant  to section 813 of Public Law 94-106;  to the  Committee on Armed services.  662. A  letter from  the Principal Deputy  Assistant Secretary of Defense  (Manpower,  Reserve Affairs and Logistics), transmitting  the Defense Manpower Requirements Report  for  fiscal year 1980, pursuant to 10 U.S.C.  138(c) (3);  to  the Committee  on Armed  Services.  663. A letter from the Assistant Secretary  of State for Congressional Relations, trans mitting notice of the State Department's in tention to consent to a request by the Gov ernment of Israel for permission to transfer  certain U.S.-origin military equipment to the  Government of the Federal Republic of Ger many, pursuant to section 3 of the Arms Ex port Control Act;  to the Committee on For eign Affairs.  664. A letter from the Assistant Legal Ad viser for Treaty Affairs, Department of State,  transmitting copies of  international agree ments, other than treaties, entered in to by  the United States, pursuant  to  1 U.S.C.  112b(a);  to the Committee on Foreign Af fairs.  665. A letter from the Fiscal Assistant Sec retary of the Treasury, transmitting a report  on the  inventory of nonpurchased foreign  currencies as of September 30, 1978, pur suant to section 613(c) of the Foreign As sistance Act of 1961,  as amended;  to  the  Committee on Foreign Affairs.  666. A letter from the Acting Director, De fense Security Assistance Agency, transmit ting notice of the Army's intention to offer  to sell certain defense equipment to the Fed eral Republic of Germany  (transmittal No.  79-8), pursuant to section 36(b) of the Arms  Export Control Act; to the Committee on Fm eign Affairs.  667. A letter from the Inspector General,  Department of Health, Education, and Wel fare, transmitting the seventh quarterly re port of his Office, covering the period October  1  through December 31, 1978, pursuant to  section 204(b) of Public Law 94-505;  to the  Committee on Government Operations.  668. A letter from the Assistant Executive  Secretary, Federal Deposit Insurance Corpo ration,  transmitting  notice  of  proposed  changes in an existing records system, pur suant to 5 U.S.C. 552a(o); to the Committee  on Government Operations.  669. A letter from the Chairman, Federal  Election Commission, transmitting proposed  ",1979
33,,96,-0.478,236,3,Mr. SCHEUER.," Mr. Speaker, the suc cess of social security has always rested  on the foundation of public confidence in  the Government's determination to ful fill its commitments under the system.  In her  recent  letter  to  the editor,  which appeared in the New York Times  of February 9, Elizabeth Wickenden per suasively  argues  against  ""tinkering""  with promised benefits as a means of  freeing funds for other Federal purposes.  I  find her letter particularly illumi nating and I  commend  it to my col leagues attention:  SOCIAL  SECURITY:  DON'T  BENEFITS  ""TINKER"" WITH  of  To the Editor:  The Times has been a staunch and knowl edgeable  defender  of  Social  Security  throughout  the system's long and highly  successful history. The <two indispenS81ble in gredients of that success have been stabillty  institutional  arrangemeilltl.5  and  confi dence on the part of  the public that the  Government will fulfill its commitments un der itJhe system.  These have depended,  in turn, on long range planning to maintain the delicate bal ance bebween contributions pa.id in by fu ture beneficiaries and benefits paid out, as  promised,  to the currently retired, the dis aJbled and  those deprived by death of the  family breadwinner.  It ls >therefore disappointing to find The  Times,  in its editorial of Feb. 1,  treating  Social Security benefilts as if they were just  another element in the current Federal budg et. President Carter himself has modified  his origin.a,! recommendation to this etrort by  requesting  (in his Supplemental State of  the Union Message of Jan. 25)  the two al ready existing statutory 'bodies on Social SeFebruary 21, 1979  fi curity to consider his recommendations as  part of  their overall examination of  this  complex system.  No one is objecting to a considered review  of the system with respect  to benefits,  nancing and demographic factors. What is  objectionable  is  to  tinker with promised  benefits in a given fiscal budget as a means  of freeing .funds !or other Federal purposes.  Social Security in the United States is a  self-contained,  self-financing  system  .and  should be so trealted. The best way to assure  his original recommendation to this effect by  Sena.tor Ohurch:  to create an independent  Social Security board to administer the pro gram and to separate its financing entirely  from  the consolidated Federal budgett.  As a postscript, I must, as an advocate for  children, protest The Times's cha.ractertza tion of the ""heart of Social Security"" as ""ba sic income and medical care for the old and  disabled."" Not only a.re five million children  currently receiving monthly Social Seou.rity  benefits bwt the life insurance protection or  the system has major immediate value  to  the younger working families now paying So cial Security truces.  NEW YORK, February 2, 1979.  ELIZABETH WICKENDEN.  (The writer  policy.)   is  a  consultant on  social  BAN DIOXIN  HON. DON EDWARDS  OF CALIFORNIA  IN THE HOUSE OP REPRESENTATIVES  Wednesday, February 21, 1979  e ",1979
