,branch,congressID,ideology_score,page,part,speaker,speech,year
0,,108,0.311,1,2004-01-21,Mr. FOLEY.," Mr. Speaker, I see there  are a few Democrats on the floor today;  they are busy preparing their ‘‘I hate  George Bush’’ speeches for the day. We  finished last night with a message from  the President of  the United States  about the hopeful optimism this country has and the things that we can do  together if we only stop bickering and  start working  towards our  common  goals.  The war on terrorism is his single  focus; and  since September  11, our  homeland has been safe. Liberating the  world has been his hallmark, and today  we can claim that Libya is now negotiating with the United States. North  Korea is finally talking about putting  aside their hatefulness. India and Pakistan are joining together for conversations that are hopeful and helpful for  solving the world’s problems.  This President has  led effectively,  honorably, and with distinction.  At the end of the State of the Union  speech, the minority leader went on to  describe how reckless, basically, this  President has been. I disagree vehemently and strongly.  I applaud our  President. I applaud the state of the  Union. The economy is growing stronger, unemployment  is  reducing  itself  and we are finding ourselves in a better  place, thanks to his leadership.  God bless this great Nation and, as  the chaplain said, God bless our President. f  HONORING MICHAEL GALE  (Mrs. CAPITO asked and was given  permission to address the House for 1  minute and to revise and extend her remarks.)  ",2004
1,,108,0.259,1,2004-01-21,Mrs. CAPITO.," Mr. Speaker,  I rise  today to honor Michael Gale, an exceptional student in my district in West  Virginia, and one of my constituents.  Michael was recently awarded one of  12 George Mitchell Scholarships  for  postgraduate studies at universities in  Ireland and Northern Ireland. Michael  is the first West Virginia resident ever  to receive this prestigious award and  will study at the National University  of Ireland in Galway.  The Mitchell Scholarship was established by an endowment from the Irish  Government in 1998 and is administered  by  the  U.S.-Ireland  Alliance.  The  House has supported funding for the  Mitchell Scholarship both in 2003 and  2004. The British Government also provides support for this program.  I offer my congratulations to Michael  Gale, an exceptional young West Virginian, and the other 11 winners of the  Mitchell Scholarship and wish them all  the best in their studies in Ireland.  f  HONORING THE LIFE OF HAROLD  J. ‘‘TEX’’ LEZAR, JUNIOR  (Mr. BURGESS asked and was given  permission to address the House for 1  minute.)  ",2004
2,,108,0.57,1,2004-01-21,Mr. BURGESS.," Mr. Speaker, it is my  sad duty this morning to report on the  bThis symbol represents the time of day during the House proceedings, e.g.,b1407 is 2:07 p.m. Matter set in this typeface indicates words inserted or appended, rather than spoken, by a Member of the House on the floor. H39 . VerDate jul 14 2003  01:18 Jan 22, 2004 Jkt 029060 PO 00000 Frm 00001 Fmt 4634 Sfmt 0634 E:\CR\FM\A21JA7.000 H21PT1 ",2004
3,House,108,-0.487,8,2004-01-21,Mr. DAVIS of Illinois.," Mr. Speaker, I  yield myself such time as I may consume as I prepare to close.  Listening to the discussion reminds  me of the fact that I spent some time  as a big brother, and I think I may  have gotten more out of the relationship than the young fellow who was my  little brother. I remember a few years  ago I got a call from a fellow who said  to me that Vice President Al Gore was  coming to town and did I want to meet  with him. I said, well, I would not  mind. He says, do you know who this  is? I said, well, no, I really do not. He  said, this is Courtney Miller, your little brother, and of course, Courtney  had grown up and at that particular  time was working for the Vice President of the United States.  I also served for about 12 years as the  commissioner of Boy Scouts  in my  community, and just day before yesterday I was at a Martin Luther King  celebration, and there was a young fellow there who had become a minister,  Jonathan Carter. As Jonathan participated in the services, he says, well, you  know, I used to be a Boy Scout when  you were the scouting commissioner  and I have now become what I am. He  said, I remember you coming to our  Eagle Scout celebration and talking  about how great it was.  So my point is that oftentimes those  who serve as mentors will get as much  from the relationship as the young people  that  they  associate  themselves  with.  I listened to the chairman talking  about the fact that everybody can be a  part of this. One does not really need  to have a degree. One does not need to  have a title. One does not need to be an  elected official. One does not have to  be anything special other than themselves.  We have just finished celebrating the  life of Dr. Martin Luther King, and one  of the things that Dr. King often would  say is that everybody can be great because everybody can serve. When  it  comes to mentoring young people, no  matter who we are and where we are,  we can serve. We can be a part of helping to grow and develop the  life of  someone else.  So, again, I commend the gentleman  from Nebraska (Mr. OSBORNE) for this  resolution and urge its passage.  Mr. Speaker, I yield back the balance  of my time. ",2004
4,House,108,0.299,8,2004-01-21,Mr. OSBORNE.," Mr. Speaker, I yield  myself such time as I may consume.  I thank the gentleman for his comments and his commitment to mentoring. Ofttimes we hear the complaint  ‘‘too busy,’’ and yet I have found the  time over the last 4 years, sometimes  it is Saturday, sometimes it is a Monday, sometimes it is Friday, to meet  regularly with a mentoree. I mentor a  young person and also several members  from my office have been mentoring  here on Capitol Hill.  So, again, I would urge my colleagues  to encourage their office staff to do the  same. ",2004
5,House,108,0.458,8,2004-01-21,Mr. KELLER.," Mr. Speaker, I rise today to  support the National Mentoring Month Resolution  introduced  by  Congressman  TOM  OSBORNE. This resolution recognizes and supports the efforts of mentoring programs across  our Nation. It embraces the notion that volunteer mentors can change the life of a troubled  teen. This resolution celebrates the month of  January as a month-long campaign  focused  on raising awareness of mentoring programs,  their impact on our youth, and information on  how to volunteer to become a mentor.  I am proud to be an original cosponsor to  Congressman  resolution.  Both  Coach OSBORNEand I worked as mentors before coming to Congress and both felt a need  OSBORNE’s  to raise awareness of the cause once we were  elected.  Last  Congress,  we  successfully  passed  the Mentoring  for Success program,  which provided money to start up new mentoring programs across the country. We also  fought for increased Federal funding for local  mentoring programs bringing that total to $100  million this year. In addition, we founded the  Congressional Mentoring Caucus, a bipartisan  organization designed to disseminate information about the positive impact mentoring programs have on our Nation’s children.  Mentoring programs offer many benefits to  children, particularly as it relates to educating  our children. These programs are proven  to  help prevent children  from dropping out of  high school. In the state of Florida, we had a  big problem. Only 53 percent of our children  were graduating from high school. So, in Central Florida, we decided to do something about  it by  creating  the Orlando/Orange County  Compact Program. The Compact Program is a  mentoring program that matches up students  at  risk of dropping out of high school with  mentors  from  the business community. The  mentors meet with the students 1 hour a week  to work on homework and projects.  The  results  from  this mentoring program  have been dramatic. Over a period of 10  years, 98 percent of the children in the Compact Program  have  graduated  from  high  school— the No. 1 graduation  rate  in  the  United States.  I would also like to discuss the crime prevention benefits of mentoring programs.  In  Florida, 70 percent of the inmates in our jails  and prisons are high school dropouts. It costs  taxpayers $25,000 a year  for each Federal  prisoner, compared with only $5,000 a year to  educate a student in our public schools. Clearly, making  the  investment  in mentoring programs now will save us literally hundreds of  millions of dollars down the road in terms of  reduced jail costs and reduced welfare costs.  In summary, mentoring programs make a  meaningful difference in the lives of our young  people;  they  improve  education,  prevent  crimes, and will save us money. I urge all of  my colleagues to support National Mentoring  Month by participating  in  local programs  in  their home districts— together we can make a  difference in the lives of our children. ",2004
6,House,108,-0.343,8,2004-01-21,Mrs. DAVIS of California.," Mr. Speaker, I am  honored to join my colleague from Nebraska,  TOMOSBORNE, in support of House Resolution  491, which recognizes the critical role of mentors in our children’s lives.  Ralph Waldo Emerson once said, ‘ It is one  of the most beautiful compensations of this life  that no man can sincerely try to help another  without helping himself.’ I can think of no better way to summarize  the true reward of mentoring than by recognizing the inherent truth in this statement.  The mentoring partnership  is unique, because it is one of the few relationships where  both sides stand to benefit immensely.  Both individuals bring their own— and oftentimes, very different— set of life experiences to  the  table, and  this has  the pleasantly surprising effect of forcing us outside of our own  comfort zones.  It is easy for us to relate to those with whom  we share obvious similarities, but venturing  outside of that comfort zone gives us the opportunity to view the world from an entirely different perspective.  While it may seem too difficult, or uncomfortable at  first, you will  find  that you are a  richer person for it in the end.  VerDate jul 14 2003  01:18 Jan 22, 2004 Jkt 029060 PO 00000 Frm 00008 Fmt 4634 Sfmt 9920 E:\CR\FM\K21JA7.014 H21PT1 ‘ ’ ",2004
7,House,108,-0.4,15,2004-01-21,Mr. LARSON of Connecticut.," Mr.  Speaker, I yield myself such time as I  may consume.  (Mr. LARSON of Connecticut asked  and was given permission to revise and  extend his remarks.)  ",2004
8,House,108,0.519,15,2004-01-21,Mr. DOOLITTLE.," Mr. Speaker,  I  yield 5 minutes to the gentleman from  Illinois (Mr. LAHOOD).  (Mr. LAHOOD asked and was given  permission to revise and extend his remarks.)  ",2004
9,House,108,0.246,15,2004-01-21,Mr. LAHOOD.," Mr. Speaker, I thank  the gentleman  from California  (Mr.  DOOLITTLE) for yielding me this time.  On December 9, 2003, the citizens of  Illinois lost one of the true giants in  the storied history of politics in our  State. Paul Simon was a leader who  transcended political or ideological labels.  To be sure, he was a staunch liberal  who  fought  for better housing,  fair  wages, a cleaner environment, and civil  justice. At  the  same  time, he also  leaned conservative when it came to  fiscal matters.  But it was the way he carried out the  job that made Paul a revered figure in  a State that is accustomed to largerthan-life  figures.  Paul  Simon  represented an approach to politics that is  becoming more and more rare in today’s world, an approach in which he  not only respected the people he represented but he respected the people  who were his peers and the institutions  in which he  served,  including  this  House and the other body.  When I was first elected to the House  in 1994, Paul was the senior Senator  from  Illinois, and he  took  time  to  reach out to me so we could become  better acquainted and work on issues  of mutual concern.  As a leading Member of the Senate, I  am  sure  that he had many better  things to do than getting to know a  first-term Member of the House, but  that was the way Paul did business. He  knew that good relationships were important in politics and legislating, and  I am a better Member of the House for  Paul Simon’s efforts to get to know  me.  When Paul retired from the Senate  following the 1996 election, he certainly  could have landed some lucrative lobbying contracts, but he chose instead  to continue influencing public policy  through a different arena, one that  could have a lasting impression on generations of future public servants, that  is, teaching. From his perch as director  of Public Policy Institute at Southern  Illinois University, he  continued  to  stay in the public eye, and he was able  to carry on his advocacy for many of  the issues he held so dear. He wrote  prolifically on many issues during his  time at SIU. He continued to travel the  world to talk about the issues in which  he so passionately believed. I would  imagine he was as busy in his role with  the institute as he was during his time  in the Senate.  And to this day I am sure Paul Simon’s approval numbers in Illinois are  higher  than  any  politician  in  our  State.  Paul is someone who should be used  as a benchmark, not only for future  generations of leaders but for today’s  politicians as well. Paul Simon taught  us  that  one  can  really  get  ahead  through  civility,  common  courtesy,  and a respect for those with opposing  viewpoints. That is a far cry from what  many of our citizens believe  today  about their elected representatives. All  of us could do this job a little better if  we follow in the footsteps and examples  of Paul Simon.  I might say that when I first got to  the House, Paul recommended that I  get involved in a program called Everybody Wins, which is a reading program  VerDate jul 14 2003  01:18 Jan 22, 2004 Jkt 029060 PO 00000 Frm 00015 Fmt 4634 Sfmt 0634 E:\CR\FM\K21JA7.027 H21PT1 ’ ",2004
